<Rules>,,,,,,,,,,,,
Colors,11,D,E,F,G,H,I,J,K,L,M,N
Clarities,10,VVS1,VVS2,VS1,VS2,SI1,SI2,SI3,I1,I2,I3,
EX,SI2,M,1.9356,1.9855,2,Diameter,,,,,,
EX,SI3,M,1.9356,1.9855,1.6,Diameter,,,,,,
EX,I1,M,1.9356,1.9855,1.45,Diameter,,,,,,
EX,I2,M,1.9356,1.9855,1.15,Diameter,,,,,,
EX,I3,M,1.9356,1.9855,0.9,Diameter,,,,,,
EX,VVS1,N,1.9356,1.9855,0,Diameter,,,,,,
EX,VVS2,N,1.9356,1.9855,0,Diameter,,,,,,
EX,VS1,N,1.9356,1.9855,0,Diameter,,,,,,
EX,VS2,N,1.9356,1.9855,0,Diameter,,,,,,
EX,SI1,N,1.9356,1.9855,0,Diameter,,,,,,
EX,SI2,N,1.9356,1.9855,0,Diameter,,,,,,
EX,SI3,N,1.9356,1.9855,0,Diameter,,,,,,
EX,I1,N,1.9356,1.9855,0,Diameter,,,,,,
EX,I2,N,1.9356,1.9855,0,Diameter,,,,,,
EX,I3,N,1.9356,1.9855,0,Diameter,,,,,,
EX,VVS1,D,1.9856,2.0355,6.55,Diameter,,,,,,
EX,VVS2,D,1.9856,2.0355,0.01,Diameter,,,,,,
EX,VS1,D,1.9856,2.0355,5.1,Diameter,,,,,,
EX,VS2,D,1.9856,2.0355,4.35,Diameter,,,,,,
EX,SI1,D,1.9856,2.0355,4.2,Diameter,,,,,,
EX,SI2,D,1.9856,2.0355,3.85,Diameter,,,,,,
EX,SI3,D,1.9856,2.0355,3.3,Diameter,,,,,,
EX,I1,D,1.9856,2.0355,2.95,Diameter,,,,,,
EX,I2,D,1.9856,2.0355,2.35,Diameter,,,,,,
EX,I3,D,1.9856,2.0355,2,Diameter,,,,,,
EX,VVS1,E,1.9856,2.0355,6.55,Diameter,,,,,,
EX,VVS2,E,1.9856,2.0355,0.01,Diameter,,,,,,
EX,VS1,E,1.9856,2.0355,5.1,Diameter,,,,,,
EX,VS2,E,1.9856,2.0355,4.35,Diameter,,,,,,
EX,SI1,E,1.9856,2.0355,4.2,Diameter,,,,,,
EX,SI2,E,1.9856,2.0355,3.85,Diameter,,,,,,
EX,SI3,E,1.9856,2.0355,3.3,Diameter,,,,,,
EX,I1,E,1.9856,2.0355,2.95,Diameter,,,,,,
EX,I2,E,1.9856,2.0355,2.35,Diameter,,,,,,
EX,I3,E,1.9856,2.0355,2,Diameter,,,,,,
EX,VVS1,F,1.9856,2.0355,6.25,Diameter,,,,,,
EX,VVS2,F,1.9856,2.0355,0.01,Diameter,,,,,,
EX,VS1,F,1.9856,2.0355,4.9,Diameter,,,,,,
EX,VS2,F,1.9856,2.0355,4.35,Diameter,,,,,,
EX,SI1,F,1.9856,2.0355,4.2,Diameter,,,,,,
EX,SI2,F,1.9856,2.0355,3.85,Diameter,,,,,,
EX,SI3,F,1.9856,2.0355,3.3,Diameter,,,,,,
EX,I1,F,1.9856,2.0355,2.95,Diameter,,,,,,
EX,I2,F,1.9856,2.0355,2.35,Diameter,,,,,,
EX,I3,F,1.9856,2.0355,2,Diameter,,,,,,
EX,VVS1,G,1.9856,2.0355,6.25,Diameter,,,,,,
